File	TotalReads	TotalBases	HitReads	HitKmers	MatchList
DRR023333_1	6243181	1667084289	1	17	X51522.1_phageP4:p8531a_m17
DRR027642_1	133932	74769093	0	0	
DRR027643_1	175545	89568995	0	0	
DRR053207_1	389643	46137596	0	0	
DRR053207_2	389643	46084317	0	0	
DRR053208_1	596864	124512374	0	0	
DRR053208_2	596864	126069168	0	0	
DRR053209_1	1476975	165712432	0	0	
DRR053209_2	1476975	165549912	0	0	
DRR053210_1	504665	108731314	0	0	
DRR053210_2	504665	110172941	0	0	
DRR053211_1	1290953	142370808	0	0	
DRR053211_2	1290953	142711285	0	0	
DRR053212_1	849768	189932544	0	0	
DRR053212_2	849768	192547691	0	0	
DRR053213_1	1104677	116154639	0	0	
DRR053213_2	1104677	116172229	0	0	
DRR053214_1	538718	105158861	0	0	
DRR053214_2	538718	107232833	0	0	
DRR053215_1	1751298	185134858	0	0	
DRR053215_2	1751298	185081954	0	0	
DRR053315_1	1412181	282878176	0	0	
DRR053315_2	1412181	285136492	0	0	
DRR098837_1	1279703	288884144	0	0	
DRR098838_1	866419	187248500	0	0	
DRR098839_1	251085	52591412	0	0	
DRR098840_1	852397	193680317	0	0	
DRR098841_1	731827	164687066	0	0	
DRR098842_1	305305	67350982	0	0	
DRR151114_1	5514662	887315319	0	0	
DRR151114_2	5514662	916456318	0	0	
DRR151115_1	5284467	830001669	0	0	
DRR151115_2	5284467	854587287	0	0	
ERR1078288_1	103694	414776	0	0	
ERR1078288_2	103694	55656810	0	0	
ERR1078289_1	44560	178240	0	0	
ERR1078289_2	44560	24037817	0	0	
ERR1078290_1	121938	487752	0	0	
ERR1078290_2	121938	66031748	0	0	
ERR1078291_1	195747	782988	0	0	
ERR1078291_2	195747	105415596	0	0	
ERR1078292_1	79184	316736	0	0	
ERR1078292_2	79184	41659475	0	0	
ERR1078293_1	121347	485388	0	0	
ERR1078293_2	121347	65073890	0	0	
ERR1078294_1	86171	344684	0	0	
ERR1078294_2	86171	46665569	0	0	
ERR1078295_1	71148	284592	0	0	
ERR1078295_2	71148	38373604	0	0	
ERR1078296_1	89418	357672	0	0	
ERR1078296_2	89418	48396100	0	0	
ERR1078297_1	129980	519920	0	0	
ERR1078297_2	129980	70539430	0	0	
ERR1078298_1	142142	568568	0	0	
ERR1078298_2	142142	77343080	0	0	
ERR1078299_1	74997	299988	0	0	
ERR1078299_2	74997	40296320	0	0	
ERR1097471_1	2055959	205325433	0	0	
ERR1097472_1	6224540	795689664	0	0	
ERR1097473_1	1628188	153972857	0	0	
ERR1097474_1	4089824	524570481	0	0	
ERR1097475_1	6915165	831889208	0	0	
ERR1097476_1	1974823	201282420	0	0	
ERR1097477_1	3319454	410853417	0	0	
ERR1097478_1	1628448	163036766	0	0	
ERR1097479_1	1835268	150390346	0	0	
ERR1097480_1	3968660	475927568	0	0	
ERR1097481_1	2190712	256982151	0	0	
ERR1097482_1	1703985	142565807	0	0	
ERR1097483_1	4802844	525902578	0	0	
ERR1097484_1	4767530	359821114	0	0	
ERR1097485_1	2720052	257408167	0	0	
ERR1097486_1	3911232	402205484	0	0	
ERR1097487_1	3351737	264869134	0	0	
ERR1097488_1	3255847	328659468	0	0	
ERR1097489_1	5220285	493483034	0	0	
ERR1097490_1	4101540	421820293	0	0	
ERR1097491_1	3220579	302831346	0	0	
ERR1097492_1	4519600	385518049	0	0	
ERR1097493_1	4997578	519136616	0	0	
ERR1097494_1	2741239	178416386	0	0	
ERR1097495_1	2867169	260156222	0	0	
ERR1097496_1	3625764	308116037	0	0	
ERR1097497_1	4761762	480446643	0	0	
ERR1097498_1	4345431	470325102	0	0	
ERR1097499_1	2639722	221690529	0	0	
ERR1111011_1	25119064	2537025464	0	0	
ERR1111011_2	25119064	2537025464	0	0	
ERR1111173_1	23518864	2375405264	0	0	
ERR1111173_2	23518864	2375405264	0	0	
ERR1111174_1	20883540	2109237540	0	0	
ERR1111174_2	20883540	2109237540	0	0	
ERR1111175_1	23538231	2377361331	0	0	
ERR1111175_2	23538231	2377361331	0	0	
ERR1111176_1	23913300	2415243300	0	0	
ERR1111176_2	23913300	2415243300	0	0	
ERR1111177_1	24439371	2468376471	0	0	
ERR1111177_2	24439371	2468376471	0	0	
ERR1111178_1	25890603	2614950903	0	0	
ERR1111178_2	25890603	2614950903	0	0	
ERR1111179_1	22247430	2246990430	0	0	
ERR1111179_2	22247430	2246990430	0	0	
ERR1111180_1	26041430	2630184430	0	0	
ERR1111180_2	26041430	2630184430	0	0	
ERR1111181_1	29015548	2930570348	0	0	
ERR1111181_2	29015548	2930570348	0	0	
ERR1111182_1	21662020	2187864020	0	0	
ERR1111182_2	21662020	2187864020	0	0	
ERR1111183_1	25824923	2608317223	0	0	
ERR1111183_2	25824923	2608317223	0	0	
ERR1111184_1	24400067	2464406767	0	0	
ERR1111184_2	24400067	2464406767	0	0	
ERR1111185_1	26458084	2672266484	0	0	
ERR1111185_2	26458084	2672266484	0	0	
ERR1189628_1	2534670	762935670	0	0	
ERR1189628_2	2534670	762935670	0	0	
ERR1520028_1	3699620	1013810380	0	0	
ERR1520029_1	2827444	793810551	0	0	
ERR1520030_1	3867382	1028910151	0	0	
ERR1520031_1	2807137	787543888	0	0	
ERR1524226_1	68605	10286231	0	0	
ERR1524227_1	54387	8150992	0	0	
ERR1524228_1	69178	10370173	0	0	
ERR1524229_1	69649	10442640	0	0	
ERR1524230_1	66607	9982371	0	0	
ERR1524231_1	67175	10082557	0	0	
ERR1524232_1	66054	9891607	0	0	
ERR1524233_1	51432	7729101	0	0	
ERR1524234_1	62036	9303174	0	0	
ERR1524235_1	70587	10569529	0	0	
ERR1524236_1	69513	10420530	0	0	
ERR1524237_1	81043	12105552	0	0	
ERR1524238_1	24924	3730295	0	0	
ERR1524239_1	82383	12367746	0	0	
ERR1524240_1	16144	2421530	0	0	
ERR1524241_1	122315	18348262	0	0	
ERR1524242_1	60533	9081003	0	0	
ERR1524243_1	90094	13449743	0	0	
ERR1524244_1	75108	11251008	0	0	
ERR1524245_1	40596	6090375	0	0	
ERR1524246_1	61859	9270136	0	0	
ERR1524247_1	30941	4638200	0	0	
ERR1524248_1	153078	22964048	0	0	
ERR1524249_1	85563	12832864	0	0	
ERR1524250_1	95956	14392600	0	0	
ERR1524251_1	77952	11693384	0	0	
ERR1524252_1	66772	10001712	0	0	
ERR1524253_1	59037	8855109	0	0	
ERR1524254_1	108692	16304457	0	0	
ERR1524255_1	48516	7264902	0	0	
ERR1524256_1	92128	13810755	0	0	
ERR1524257_1	94498	14175684	0	0	
ERR1524258_1	84433	12662784	0	0	
ERR1524259_1	131212	19686884	0	0	
ERR1524260_1	117989	17706683	0	0	
ERR1524261_1	95675	14356646	0	0	
ERR1524262_1	119979	17985658	0	0	
ERR1524263_1	66726	10009218	0	0	
ERR1524264_1	44619	6691531	0	0	
ERR1524265_1	67365	10104499	0	0	
ERR1524266_1	74715	11211197	0	0	
ERR1524267_1	96795	14506300	0	0	
ERR1524268_1	43151	6472984	0	0	
ERR1524269_1	111306	16662631	0	0	
ERR1524270_1	61971	9292176	0	0	
ERR1524271_1	108283	16237195	0	0	
ERR1524272_1	100981	15187152	0	0	
ERR1524273_1	108209	16214164	0	0	
ERR1524274_1	58258	8745314	0	0	
ERR1524275_1	31954	4789159	0	0	
ERR1524276_1	19756	2962310	0	0	
ERR1524277_1	43987	6599647	0	0	
ERR1524278_1	57333	8586572	0	0	
ERR1524279_1	34817	5213368	0	0	
ERR1524280_1	45874	6908737	0	0	
ERR1524281_1	39207	5880237	0	0	
ERR1524282_1	17	2545	0	0	
ERR1524283_1	34843	5248510	0	0	
ERR1524284_1	27155	4075268	0	0	
ERR1599944_1	465279	139583700	0	0	
ERR1599944_2	465279	139583700	0	0	
ERR162903_1	3196	47940	0	0	
ERR162903_2	3196	1073179	0	0	
ERR162905_1	53421	801315	0	0	
ERR162905_2	53421	62421307	0	0	
ERR162907_1	43544	653160	0	0	
ERR162907_2	43544	48275522	0	0	
ERR162909_1	67822	1017330	0	0	
ERR162909_2	67822	79833880	0	0	
ERR162911_1	52748	791220	0	0	
ERR162911_2	52748	57124908	0	0	
ERR162913_1	54838	822570	0	0	
ERR162913_2	54838	71289872	0	0	
ERR162915_1	39990	639840	0	0	
ERR162915_2	39990	52472709	0	0	
ERR162917_1	62064	930960	0	0	
ERR162917_2	62064	75387497	0	0	
ERR162919_1	26145	392175	0	0	
ERR162919_2	26145	29560283	0	0	
ERR162921_1	29035	435525	0	0	
ERR162921_2	29035	32423411	0	0	
ERR162923_1	12823	192345	0	0	
ERR162923_2	12823	14498536	0	0	
ERR162925_1	12480	49920	0	0	
ERR162925_2	12480	137280	0	0	
ERR162925_3	12480	13053947	0	0	
ERR162927_1	28292	113168	0	0	
ERR162927_2	28292	311212	0	0	
ERR162927_3	28292	32878820	0	0	
ERR162929_1	16877	67508	0	0	
ERR162929_2	16877	185647	0	0	
ERR162929_3	16877	19752990	0	0	
ERR162931_1	32269	129076	0	0	
ERR162931_2	32269	354959	0	0	
ERR162931_3	32269	37964649	0	0	
ERR162933_1	18556	74224	0	0	
ERR162933_2	18556	204116	0	0	
ERR162933_3	18556	25596974	0	0	
ERR162935_1	18620	74480	0	0	
ERR162935_2	18620	204820	0	0	
ERR162935_3	18620	18122076	0	0	
ERR162937_1	12707	50828	0	0	
ERR162937_2	12707	139777	0	0	
ERR162937_3	12707	17173565	0	0	
ERR162939_1	16595	66380	0	0	
ERR162939_2	16595	182545	0	0	
ERR162939_3	16595	22034965	0	0	
ERR1749786_1	160120	640480	0	0	
ERR1749786_2	160120	16548562	0	0	
ERR1749787_1	138941	555764	0	0	
ERR1749787_2	138941	14675336	0	0	
ERR1749788_1	165715	662860	0	0	
ERR1749788_2	165715	39180085	0	0	
ERR1749789_1	239014	956056	0	0	
ERR1749789_2	239014	58749503	0	0	
ERR1749790_1	177184	708736	0	0	
ERR1749790_2	177184	41349273	0	0	
ERR1749791_1	113542	454168	0	0	
ERR1749791_2	113542	28098915	0	0	
ERR1749792_1	25767	103068	0	0	
ERR1749792_2	25767	5523988	0	0	
ERR1749793_1	305191	1220764	0	0	
ERR1749793_2	305191	71492160	0	0	
ERR1749794_1	28217	112868	0	0	
ERR1749794_2	28217	6388228	0	0	
ERR1749795_1	256310	1025240	0	0	
ERR1749795_2	256310	84569299	0	0	
ERR1749796_1	189704	758816	0	0	
ERR1749796_2	189704	69617792	0	0	
ERR1749797_1	158065	632260	0	0	
ERR1749797_2	158065	64848807	0	0	
ERR1749798_1	51683	206732	0	0	
ERR1749798_2	51683	20314990	0	0	
ERR1749799_1	199388	797552	0	0	
ERR1749799_2	199388	91106213	0	0	
ERR1749800_1	233531	934124	0	0	
ERR1749800_2	233531	100572845	0	0	
ERR1749801_1	723577	2894308	0	0	
ERR1749801_2	723577	312134556	0	0	
ERR1749802_1	736239	2944956	0	0	
ERR1749802_2	736239	310470482	0	0	
